ID#;dialog
600001;Narcissa!
600002;Cissy! You mustn't do this.  He can't be trusted.
600003;The Dark Lord trusts him.
600004;The Dark Lord is mistaken.
600005;Or so I believe.
600006;Well, who can one trust these days?
600007;He lives in this Muggle dunghill?
600008;Run along, Wormtail.
600009;I've nowhere else to turn, Severus.
600010;You must be joking.
600011;I know I ought not to be here. The Dark Lord himself has forbidden me to speak of this --
600012;If the Dark Lord has forbidden it, you ought not to speak.
600013;Put it down, Bella.  We mustn't touch what isn't ours. As it so happens I'm aware of your situation, Narcissa.
600014;You? The Dark Lord told you?
600015;Your sister doubts me, Narcissa. Understandable.
600016;Over the years I have played my part well.  So well I've deceived one of the greatest wizards of all time.
600017;Dumbledore is a great wizard. Only a fool would question it.
600018;I... I don't doubt you, Severus.
600019;You should feel honored, Cissy. As should Draco --
600020;He's just a boy!
600021;I can't change the Dark Lord's mind.  But it might be possible for me to help Draco.  To provide some... protection.
600022;Do you mean it, Severus?
600023;I can try.
600024;Oh, Severus, please, if you would... I would be forever in your debt.
600025;Swear to it.
600026;Make the Unbreakable Vow. You see.  It's just empty words. Oh he'll try.  He'll give it his best effort.  But when it matters most he'll slither back into his hole.  Bloody coward...
600027;Take out your wand.
600028;Will you, Severus Snape, watch over Draco Malfoy as he attempts to fulfill the Dark Lord's wishes.
600029;I will.
600030;And will you, to the best of your ability, protect him from harm?
600031;I will.
600032;And should it prove necessary, if it seems Draco will fail... will you yourself carry out the deed that the Dark Lord has ordered Draco to perform?
600033;I will.
600034;Harry Potter.  Who's Harry Potter?
600035;Oh.  Um.  No one.  Bit of a tosser.
600036;Funny that paper of yours.  Couple nights ago, I could swear I saw one of the pictures move.
600037;Really.
600038;Thought I'd gone round the twist.
600039;Hey.  I was wondering...
600040;Eleven.  That's when I get off.
600041;I once knew a Muggle girl from Liverpool with hair like spun silk.  No light could resist it...
600042;I like riding round on the trains. It takes my mind off... things.
600043;Rather unpleasant to behold, isn't it?  The tale is thrilling if I do say so myself, but I'm afraid now is not the time to tell it.  Take my arm.
600044;I just Apparated, didn't I?
600045;Indeed.  And quite successfully I might add.  Most people vomit their first time.
600046;Can't imagine why...
600047;Welcome to the charming village of Budleigh Babberton, Harry.  I assume right about now you're wondering why I've brought you here, am I right?
600048;After all these years, I just sort of roll with it, sir.
600049;Wand out, Harry.
600050;Lumos...
600051;Horace!
600052;Merlin's Beard!
600053;There's no need to disfigure me, Albus!
600054;I must say, you make a very convincing armchair, Horace.
600055;It's all in the upholstery. I come by the stuffing naturally. What gave me away?
600056;Dragon's blood.
600057;Yes, well, I couldn't very well use wizard's blood, could I?  Oho!
600058;Ah yes.  Introductions.  Harry, this is an old friend and colleague of mine, Horace Slughorn.  Horace, this is, well, you know who this is. Apparently there's some thought he may be the Chosen One.
600059;So why all the theatrics, Horace? You weren't perhaps expecting someone else, were you?
600060;S-someone else?  I'm sure I don't know what you mean.
600061;Oh all right!  The Death Eaters have been trying to recruit me for over a year.  Do you know what that's like?  One can only say no to these people so many times before they...
600062;Take matters into their own hands?
600063;I never stay anywhere more than a week.  The Muggles who own this place are in the Canary Islands.
600064;Well, I think it should be put back in order for them, don't you? Mind?
600065;That was fun.  May I use the loo?
600066;Don't think I don't know why you're here, Albus!  The answer is still no!  Absolutely, unequivocally no!
600067;You look very like your father. Except for your eyes.  You've got --
600068;My mother's eyes, yeah.
600069;Lily.  Lovely Lily.  She was exceedingly bright -- your mother. Even more impressive when one considers she was Muggle-born.
600070;One of my best friends is Muggle- born.  She's the best in our year.
600071;Oh, but you mustn't think I'm prejudiced!  No, no, no! Your mother was one of my absolute favorites!  Look, there she is. Right up front.
600072;All mine, each and every one.  Ex- students, I mean.  You recognize Barnubas Cuffe, of course, editor of the Daily Prophet.
600073;Always takes my owl should I want to register my opinion on the news of the day.  And there's Ambrosius Flume of Honeydukes.  Sends a hamper of chocolate to the house each birthday.  That is, when I had a house.  And Gwenog Jones, captain of the Holyhead Harpies -- free tickets whenever I want them. Of course, I haven't been to a match in some time...
600074;Ah yes.  Regulus Black.  You no doubt know of his older brother Sirius.  Died a few weeks ago.  I taught the whole Black family except Sirius.  Shame.  Talented boy.  I got Regulus when he came along, of course, but I'd have liked the set.
600075;Mind if I take this?  I do love knitting patterns.
600076;Of course.  But you're not leaving?
600077;I think I know a lost cause when I see one.  Regrettable.  I would have considered it a personal triumph had you consented to return to Hogwarts, Horace.  You are, like my friend Mr. Potter -- one of a kind.
600078;All right!  I'll do it.  But I'll be wanting Professor Merrythought's old office, not that water closet I had formerly. And I expect a raise!  These are mad times we live in!  Mad!
600079;Indeed they are.
600080;Sir, exactly what was that all --
600081;You are talented, famous and powerful -- everything Horace values.  Professor Slughorn is going to try to collect you, Harry.  You would be his crowning jewel.  That is why he is returning to Hogwarts.  And it is crucial he return...
600082;I fear I may have stolen a wondrous night from you, Harry. She was, truthfully, very pretty. The girl.
600083;It's alright, sir.  I'll go back tomorrow, make some excuse --
600084;You'll not be going back to Little Whinging tonight, Harry.
600085;But, sir.  What about Hedwig?  And there's my trunk --
600086;Both are waiting for you.
600087;Sir?
600088;Hedwig...?  Mum!
600089;Exactly.  How'd you guess?
600090;I'm joking, Mum.
600091;You're worse than Fred and George.
600092;Now you're joking.  I was only wondering when Harry got here.
600093;Harry who?
600094;Harry Dimpleton.  Harry Potter, of course.
600095;I think I'd know if Harry Potter was in my house, wouldn't I?
600096;Well his trunk's in the kitchen. And his owl.
600097;I seriously doubt that.
600098;Harry?  Did someone say Harry?
600099;Me, nosy.  Is he up there with you?
600100;'Course not.  Think I'd know if my best friend was in my room, wouldn't I?
600101;Was that an owl I heard?
600102;Harry's.  Haven't seen him, have you?  Apparently, he's wandering about the house.
600103;Really?
600104;Really.
600105;Harry!
600106;Harry!
600107;But why didn't you tell us you were coming?
600108;Didn't know. Dumbledore.
600109;That man.  But then, what would we do without him?  Ron!
600110;You've a bit of...
600111;When'd you get here?
600112;A few days ago.  Though... for a bit, I wasn't sure I was coming.
600113;Mum sort of lost it last week. Said Ginny and I had no business going back to Hogwarts.  That it's too dangerous.
600114;Oh come on...
600115;She's not alone.  Even my parents -- and they're Muggles -- know something bad is happening.
600116;Anyway, Dad stepped in, told her she was being barmy.  Took a day or two, but she came round.
600117;But we're talking about Hogwarts. Dumbledore. What could be safer?
600118;There's been a lot of chatter lately.  That he's gotten... old.
600119;Rubbish.  He's only -- what?
600120;A hundred and fifty.  Give or take a few years.
600121;Step up!  Step up!
600122;Step up!  Step up!
600123;We've got Fainting Fancy...
600124;Nosebleed Nougats...
600125;And just in time for school...
600126;Puking Pastilles!
600127;Into the cauldron, handsome.
600128;Into the cauldron, handsome.
600129;What'd you think, Harry?
600130;Amazing.
600131;Pocket that and you'll pay in more than Galleons, my friend.
600132;We've got eyes in the back of our heads.
600133;Bloody urchins.
600134;Peruvian Instant Darkness Powder?
600135;A real money spinner that.
600136;Handy if you need to make a quick escape.  Hello, ladies!
600137;Yes, they do really work.
600138;Then again, the way we hear it, sis, you're doing just fine on your own.
600139;Meaning?
600140;Are you not currently dating Dean Thomas?
600141;None of your business.
600142;These are adorable.
600143;Aren't they now.  Pygmy Puffs. Can't breed them fast enough.
600144;How much for this?
600145;Five Galleons.
600146;Five Galleons.
600147;How much for me?
600148;Five Galleons.
600149;Five Galleons.
600150;But I'm your brother!
600151;Ten Galleons.
600152;C'mon. Let's go.
600153;Hi, Ron.
600154;Hi.
600155;How is it Fred and George are doing it?  Half the alley's closed down.
600156;Fred reckons people need a laugh these days.
600157;Reckon he's right...
600158;Oh no.  Look.
600159;But everyone got their wands from Ollivander.  Young.  Old...
600160;Good.  Bad.  Speaking of which...
600161;Is it just me?  Or do Draco and mummy look like two people who don't want to be followed?
600162;What're they playing at?
600163;Dunno.  Let's get closer.
600164;Hey.  Where's Hermione?
600165;Harry, where is she?
600166;I don't know.  I'm turned around.
600167;Bloody hell.
600168;Sorry.
600169;What just happened?
600170;I don't know.
600171;Quibbler...?  Quibbler...?
600172;There's an article on Wrackspurts this month.  Quibbler...?
600173;He's lovely.  They've been known to sing on Boxing Day, you know. Quibbler?
600174;Please.  What's a Wrackspurt?
600175;They're invisible creatures that float in through your ears and make your brain go fuzzy. Quibbler?  Quibbler?
600176;Don't you see, it was a ceremony. An initiation.
600177;Stop, Harry, I know where you're going with this --
600178;It's happened.  He's one of them.
600179;One of what?
600180;Harry is under the impression that Draco Malfoy is now a Death Eater.
600181;You're barking.  What would You- Know-Who want with a sod like Malfoy?
600182;So what's he doing in Borgin and Burke's?  Browsing for furniture?
600183;It's a creepy shop.  He's a creepy bloke.
600184;Look.  His father's a Death Eater. It only makes sense.  Besides, Hermione saw it.  With her own eyes.
600185;I told you.  I don't know what I saw.
600186;I need some air.
600187;What just happened?  Blaise?
600188;Don't know.
600189;Relax, boys.  The lights went out is all.  Come, Draco.  We'll be at Hogwarts before you know it.
600190;Hogwarts.  What a pathetic excuse for a school.  I think I'd pitch myself off the Astronomy Tower if I thought I had to continue on for another two years.
600191;What's that supposed to mean?
600192;Let's just say I don't think you'll be seeing me wasting my time in Charms Class next year.
600193;Amused, Blaise?  We'll see just who's laughing in the end.
600194;Where's Harry?
600195;Probably on the platform.  C'mon.
600196;You two go on.  I want to check something.
600197;Didn't mummy ever tell you it's bad manners to eavesdrop, Potter? Petrificus Totalus!
600198;Oh, right, she was dead before you could wipe the drool off your chin.
600199;Enjoy the ride back to London.
600200;Hello, Harry.
600201;Luna.  How'd you...?
600202;Wrackspurts. Your head's full of them.
600203;Sorry I made you miss the carriages, Luna.
600204;It's alright.  I enjoyed our walk. It was like being with a friend.
600205;I am your friend, Luna.
600206;That's nice.
600207;About time!  I've been looking all over for you two.  Names.
600208;Professor Flitwick, you've known me for five years.
600209;No exceptions, Potter.
600210;Who are those people?
600211;Aurors. For security.
600212;It's a not a cane, you cretin. It's a walking stick.
600213;And what exactly would you be wanting with a walking stick?
600214;It was his father's.
600215;Is my father's.  He's not dead.
600216;It's alright, Mr. Filch.  I can vouch for Mr. Malfoy.
600217;Nice face, Potter.
600218;Would you like me to fix it? Personally I think you look a bit more devil-may-care this way.  But it's up to you.
600219;Have you ever fixed one?  A nose.
600220;No.  But I've done several toes and how different are they really?
600221;What the hell.  Give it a go.
600222;Episkey.
600223;Well?  How do I look?
600224;Exceptionally ordinary.
600225;Brilliant.
600226;Don' you worry.  He'll be 'long soon 'nuff --
600227;Will.  You.  Stop.  Eating!  Your best friend is missing!
600228;Oi!  Turn around, you lunatic.
600229;He's covered in blood again.  Why is it he's always covered in blood?
600230;Looks like his own this time.
600231;Where've you been, Harry?  And what happened to your face?
600232;Later.  What've I missed?
600233;Sorting Hat urged us all to be brave and strong in these troubled times -- easy for it to say -- it's a hat, isn't it?  First Years seemed to enjoy it, though. Wankers. Filch give you the wand outside?
600234;Thanks...
600235;What's happened to his hand?
600236;The very best of evenings to you! First off, please join me in welcoming the newest member of our staff, Horace Slughorn.
600237;Professor Slughorn, I'm happy to say, has agreed to resume his old post of Potions master.  Meanwhile the post of Defense Against the Dark Arts will be assumed by Professor Snape.
600238;Now, as you know, each and every one of you was searched upon your arrival tonight.  You have a right to know why.
600239;Once there was a young man who, like you, sat in this very Hall. Walked this castle's corridors. Slept beneath its roof.  He seemed, to all the world, a student like any other.  His name? Tom Riddle. The Hall goes utterly silent.
600240;Today, of course, the world knows him by another name.  Which is why, as I stand looking out upon you all tonight, I am reminded of a sobering fact.  Each day, every hour, this very minute perhaps, dark forces attempt to penetrate this castle.  But in the end, their greatest weapon remains... you.
600241;Just something to keep in mind. Now, off to bed.  Pip pip!
600242;That was cheerful.
600243;History of Magic is up, ladies, not down.  Mr. Davies -- that's the girl's toilet...
600244;Potter!
600245;This can't be good.
600246;Enjoying ourself, are we?
600247;Well, you see, I've got an open period this morning, Professor --
600248;So I noticed.  I would think you'd want to fill it with Potions.  Or is it no longer your ambition to become an Auror?
600249;It is.  Or was.  But I was told I had to get an Outstanding in my
600250;And so you did when Professor Snape was teaching Potions. However, Professor Slughorn is perfectly happy to accept N.E.W.T. students with 'Exceeds Expectations.'
600251;Really?  Well... brilliant.  I'll head there straight away.
600252;Good.  And take Weasley with you. He looks far too happy over there.
600253;But I don't want to take Potions!
600254;Harry m'boy!  I was beginning to worry!  And I see we've brought someone with us...
600255;Ron Weasley, sir.  But I'm dead awful at Potions, a menace actually, so I probably should just be going --
600256;Nonsense, we'll sort you out.  Any friend of Harry's is a friend of mine.  Right then, books out --
600257;Um, sorry, sir, but I haven't got my book yet -- nor's Ron.  You see --
600258;Not to worry.  You can get what you need from the cupboard.
600259;Now, as I was saying, I've prepared a few concoctions this morning.  Any ideas what these might be?  Yes, Miss...?
600260;Granger, sir.  That one there is Veritaserum.  And that would be Polyjuice Potion.  And that is Amortentia! The most powerful love potion in the world.
600261;It's rumored to smell differently to each person, according to what attracts them.  For example, I smell freshly mown grass and new parchment and spearmint toothpaste --
600262;One of my best friends is Muggle- born.  She's the best in our year...
600263;Now Amortentia doesn't create actual love, of course.  That's impossible.  But it does cause a powerful infatuation or obsession. For that reason, it is probably the most dangerous potion in this room.
600264;Sir, you haven't told us what's in that one.
600265;Ah yes...
600266;What you see before you, ladies and gentlemen, is a curious little potion known as Felix Felicis. But it is more commonly referred to as --
600267;Liquid luck.
600268;Yes, Miss Granger.  Desperately tricky to make.  Disastrous should you get it wrong.  But brewed correctly, as this has been, it has remarkable powers.  One sip and you will find that all your endeavors succeed... at least until the effects wear off.
600269;But then why don't people drink it all the time?
600270;Because taken in excess it causes giddiness, recklessness and dangerous overconfidence.
600271;Have you ever taken it, sir?
600272;Twice.  Once when I was twenty- four.  Once when I was fifty- seven.  Two tablespoons taken at breakfast.  Two perfect days...
600273;So.  This is what I offer each of you today.  One tiny vial of liquid luck... to the student who, in the hour that remains, manages to brew an acceptable Draught of Living Death, the recipe for which can be found on page ten of your textbook.
600274;You should know that in all the years of my previous tenure at Hogwarts, not once did a student brew a potion of sufficient quality to claim this prize.  In any event -- good luck.
600275;How did you do that?
600276;Crush it.  Don't cut it.
600277;No.  The instructions specifically say to cut.
600278;No.  Really --
600279;Sh!
600280;Merlin's Beard!  But it's perfect. So perfect I daresay one sip would kill us all!  Your mother was a dab hand at potions, but this... My, my, what can't you do, m'boy? Perhaps you will save us all in the end...
600281;Here you are then, as promised. One bottle of Felix Felicis.  Use it well.
600282;Good evening, Harry.  You got my message, I see.  Come, come.  Sit.
600283;So.  How are you?
600284;Fine, sir.
600285;Enjoying your classes?  Professor Slughorn, for one, is most impressed with you.
600286;I think he overestimates my abilities, sir.
600287;Do you?
600288;Definitely.
600289;And what of your activities outside the classroom?  Do they bring you satisfaction?
600290;Sir?
600291;I notice you spend a great deal of time with Miss Granger.  One can't help but wonder if --
600292;No!  I mean... she's brilliant. And we're friends.  But... no.
600293;Forgive me, Harry, I...
600294;... I was merely curious. In any event, I'm sure you're wondering why I've summoned you here tonight.  The answer lies here.
600295;What you see before you are memories.  In this case pertaining to one individual:  Voldemort.  Or as he was known then... Tom Riddle.
600296;This vial contains a most particular memory -- of the day I first met him.  I'd like you to see it.  If you would...
600297;I must confess to a bit of confusion upon receiving your letter, Mr. Dumbledore.  In all the years Tom's been here, he's never once had a family visitor. Frankly, I was stunned to find that someone knew of his existence.
600298;I am not family.  But his name has been known to me since birth.
600299;I see...
600300;I think I should tell you.  He's a funny boy -- Tom.  Odd.  There have been incidents with the other children.  Nasty things.
600301;Perhaps you could give me an example.
600302;You've got a visitor, Tom.
600303;How do you do, Tom.
600304;Well, I'll leave you two to yourselves.
600305;Don't.
600306;As you wish.
600307;You're the doctor, aren't you?
600308;No.  I am a Professor.
600309;I don't believe you.  I hear Mrs. Cole talking, her and the rest of the staff.  They want me looked at.  They think I'm different.
600310;Perhaps they're right.
600311;I'm not mad.
600312;Hogwarts is not a place for mad people.
600313;It's a school.  A school of... magic.
600314;You can do things, can't you, Tom? Things the other children can't.
600315;Yes.
600316;Tell me some of the things you can do, Tom.
600317;I can make things move -- without touching them.  I can make animals do what I want without training them.  I can make bad things happen to people who are mean to me.  I can make them hurt... if I want.
600318;Who are you?
600319;I'm like you, Tom.  Different.
600320;Prove it.
600321;I think there is something trying to get out of your wardrobe, Tom. Open it.  Open.  It.
600322;Take it out.
600323;Is there anything in that box you ought not to have?
600324;Why did you want these things, Tom?
600325;I like having things that belonged to other people.  It makes me feel ... close to them.
600326;Thievery is not tolerated at Hogwarts.  At Hogwarts, you will be taught not only how to use magic, but to control it. Understood? I'll be going now, Tom.  Leave your window open tonight.  An owl will bring you a message.  Read it carefully.
600327;I can speak to snakes too.
600328;They find me.  Whisper things.  Is that normal.  For someone like me?
600329;It is unusual.  But not unheard of.
600330;Did you know, sir?  Then?
600331;Did I know that I had just met the most dangerous Dark Wizard of all time?  No.  Had I...
600332;Over time, while here at Hogwarts, Tom Riddle grew close to one particular teacher.  Can you guess which teacher that might be?
600333;You didn't bring Professor Slughorn back simply to teach Potions, did you, sir?
600334;No.  I did not.  You see, Professor Slughorn possesses something I desire very dearly. And he will not part with it easily... I'd rather not divulge any more just yet, Harry.  But I promise. In time you will know everything.
600335;You said Professor Slughorn would try to collect me.
600336;I did.
600337;Do you want me to let him?
600338;Yes.
600339;All right!  Queue up!  Excuse me...
600340;Shut It!
600341;Thanks.  All right.  This morning I'll be putting you all through a few drills to assess your strengths.  But know this:  Just because you made the team last year does not guarantee you a spot this year.  Is that clear?
600342;No hard feelings, Weasley, alright?
600343;Hard feelings?
600344;I'll be going out for Keeper as well.  Nothing personal.
600345;Really?  Strapping guy like you, you've got a Beater's build, don't you think?  Keeper needs to be agile, quick --
600346;I like my chances.  Say... think you could introduce me to your friend Granger?  Wouldn't mind getting on a first name basis, know what I mean?
600347;All right.  Cormac.  Ron.  It's down to you two for Keeper.  We'll decide it with a shootout. Demelza, you'll bring the Quaffle up against Cormac.  Ginny, you'll take on Ron.
600348;Hang on.  She's his sister.  How do I know she won't toss him a floater?
600349;Piss off, Cormac.  How 'bout I toss you a floater?
600350;Quiet!  I'm Captain.  We do it my way.  Now line up.  On three. One.  Two... Three!
600351;C'mon, Ron...
