ID#;dialog
300001;Lumos Maxima. Lumos Maxima. Lumos Maxima. Lumos Maxima. Lumos Maxima!
300002;Harry! Harry! Harry, open the door! Marge! How lovely to see...
300003;Uncle Vernon, I need you to sign this form.
300004;What is it?
300005;Nothing. School stuff.
300006;Later perhaps, if you behave.
300007;I will if she does.
300008;Oh, you're still here, are you?
300009;Yes.
300010;Don't say yes in that ungrateful way. Damn good of my brother to keep you. He'd have been straight to an orphanage if he'd been dumped on my doorstep. Is that my Dudders? Is that my little neffy-pooh? Give us a kiss! Come on! Up, up!
300011;Take Marge's suitcase upstairs!
300012;Okay.
300013;Finish that off for Mommy. Good boy, Rippy-pooh.
300014;Can I tempt you, Marge?
300015;Just a small one. Excellent nosh, Petunia. A bit more. Usually just a fry-up for me, what with 12 dogs. Just a bit more. That's a boy! Mm! You wanna try a little drop of brandy? A little drop of brandy-brandy windy-wandy for Rippy-pippy-pooh? What are you smirking at? Where did you send the boy, Vernon?
300016;St. Brutus'. It's a fine institution for hopeless cases.
300017;Do they use a cane at St. Brutus', boy?
300018;Oh, yeah. Yeah. I've been beaten loads of times.
300019;Excellent. I won't have this namby-pamby... wishy-washy nonsense about not beating people who deserve it. You mustn't blame yourself about how this one turned out. It's all to do with blood. Bad blood will out. What is it the boy's father did, Petunia?
300020;Nothing. He didn't work. He was unemployed.
300021;And a drunk too, no doubt?
300022;That's a lie!
300023;What did you say?
300024;My dad wasn't a drunk!
300025;Oh, don't worry Don't fuss, Petunia. I have a very firm grip.
300026;I think it's time you went to bed.
300027;Quiet, Vernon. You, clean it up. Actually, it's nothing to do with the father. It's all to do with the mother. You see it all the time with dogs. If there's something wrong with the bitch, then there's something wrong with the pup.
300028;Shut up! Shut up!
300029;Mm. Right! Let me tell you... y-y-- Vernon! Vernon! Vernon, do something!
300030;Ow! Ripper! Ow! Ripper, get down, boy! Down! Ripper, stop it! Stop! I've got you, Marge! I've got you! Hold on, hold on! Get off!
300031;Don't you dare!
300032;Sorry!
300033;Oh, Vernon!
300034;Oh, God! Marge! Please! Marge! Come back! You bring her back! You bring her back now and you put her right!
300035;No! She deserved what she got! Keep away from me.
300036;You're not allowed to do magic outside school.
300037;Yeah? Try me.
300038;They won't let you back now. You've nowhere to go.
300039;I don't care. Anywhere's better than here.
300040;Welcome to the Knight Bus... emergency transport for the stranded witch or wizard. My name is Stan Shunpike, and I will be your conductor for this evening. What you doing down there?
300041;I fell over.
300042;What you fall over for?
300043;I didn't do it on purpose.
300044;Well, come on, then. Let's not wait for the grass to grow. What you looking at?
300045;Nothing.
300046;Well, come on, then. In. No, no, no. I'll get this. You get in. Come on. Come on. Move on, move on, move on.
300047;Take her away, Ern.
300048;Yeah, take it away, Ernie. It's going to be a bumpy ride.
300049;What did you say your name was again?
300050;I didn't.
300051;Whereabouts are you headed?
300052;The Leaky Cauldron. That's in London.
300053;You heard that Ern? The Leaky Cauldron. That's in London.
300054;The Leaky Cauldron. If you have pea soup... make sure you eat it before it eats you.
300055;But the Muggles. Can't they see us?
300056;Muggles? They don't see nothing, do they?
300057;No, but if you jab them with a fork, they feel. Ernie, little old lady at 12 o'clock! Ten, nine, eight... seven, six, five... four, three, three and a half... two, one and three quarters. Yes!
300058;Who is that? That man.
300059;Who is that? Who is...? That is Sirius Black, that is. Don't tell me you've never been hearing of Sirius Black. He's a murderer. Got himself locked up in Azkaban for it.
300060;How did he escape?
300061;Well, that's the question, isn't it? He's the first one that done it. He was a big supporter of... You-Know-Who. I reckon you've heard of him.
300062;Yeah. Him I've heard of.
300063;Ernie, two double-deckers at 12 o'clock. They're getting closer, Ernie. Ernie, they're right on top of us! Mind your head. Hey, guys? Guys? Why the long faces? Yeah, yeah. Nearly there. Nearly there. The Leaky Cauldron. Next stop, Knockturn Alley.
300064;Ah, Mr. Potter, at last.
300065;Take it away, Ern.
300066;Yeah, take it away, Ernie!
300067;: Room 11.
300068;Hedwig.
300069;: Right smart bird you got there, Mr. Potter. He arrived here just five minutes before yourself.
300070;As Minister for Magic, it is my duty to inform you, Mr. Potter... that earlier this evening your uncle's sister was located... a little south of Sheffield, circling a chimney stack. The Accidental Magic Reversal Department was dispatched immediately. She has been properly punctured and her memory modified. She will have no recollection of the incident whatsoever. So that's that... and no harm done.
300071;: Pea soup?
300072;No, thank you. Minister?
300073;Yes?
300074;I don't understand.
300075;Understand?
300076;I broke the law. Underage wizards can't use magic at home.
