ID#;dialog
500001;Oh, it's you.
500002;What should we do with him, Big D?
500003;Big D? Cool name, but to me, you'll always be Ikkle Duddicums.
500004;Shut up!
500005;Ooo, tough guy. Not so tough in your bed, are you?
500006;What?
500007;You boys go home now, or I'll be calling your parents!
500008;"I heard you talking in your sleep, last night. Crying. ""No, don't kill Cedric, don't kill Cedric! Dad, help me, heeelp me! He's going to kill me! Boo-hoo!"""
500009;Shut up, Dudley. I'm warning you...
500010;Why should I?
500011;Because if you don't I'll turn you into the idiot pig you are!
500012;Not so brave now, are you Duddykins? Now tell your little friends to go away.
500013;G-go home!
500014;What?
500015;Get out of here!
500016;Don't you ever speak about that again. You understand?
500017;Don't point that thing at me!
500018;I said, DO YOU UNDERSTAND? !
500019;What's happening?
500020;Quiet!
500021;Dudley! Run!
500022;Come on! They break into a run. A dementor drifts into the alleyway in front of them. Skidding to a stop, Harry turns around, to find the other dementor cutting off the way back.
500023;Dudley, no!
500024;Lumos!
500025;"""Expecto Patronum!'"
500026;Bow to death, Harry...
500027;Haaaaaaaarry!...
500028;"""Expecto Patronum! '"
500029;What the heii are those?
500030;Dementors.
500031;What happened, Duddikins?
500032;What the hell is a dementoid?
500033;They didn't--?
500034;No.
500035;I want some answers!
500036;We were attacked.
500037;By those...things?
500038;They're evil. If they get the chance, they'll suck your soul out through your mouth.
500039;How do you know that?
500040;Fought 'em off, eh, Dud? Gave 'em the ol' one-two?
500041;You can't give a Dementor the 'ol one-two.'
500042;Why is he all right then?
500043;Because I used magic to save his
500044;Lumos!
500045;Who are all you lot?
500046;Quiet, Dursley.
500047;Harry, douse the light. We're exposed here.
500048;What are you doing here?
500049;We're your advanced guard, Harry. Dumbledore just sent us as soon as he heard about the attack. We're taking you to safety. We're just waiting for the all clear.
500050;How'd he know? It just happened!
500051;You didn't think Dumbledore'd let you wander around on your own, did you?
500052;Harry, I don't believe you've met Nymphadora Tonks.
500053;Tonks, would you go get Harry's broom from the house?
500054;What's been going on? What's Lord Vol-
500055;We're not talking about it here, it's too risky.
500056;Blast it.
500057;Mad-eye, dear, you do realize that's disgusting?
500058;I want 365 degree visibility on the return trip.
500059;How are we getting there?
500060;Brooms.
500061;There's the first signal.
500062;Right, let's go.
500063;On your broom, Harry.
500064;Form up! Form up around Harry. Make it snappy! The advanced guard surrounds Harry.
500065;Stop being so cheerful, Mad-eye.
500066;We must be ready. This would be the perfect moment for Voldemort to strike Harry.
500067;Uh, is that very likely?
500068;No one's going to die.
500069;There's the second signal!
500070;Mount your brooms, everyone. Here we go!
500071;The third signal, everyone. Let's
500072;Stay in formation!
500073;We need more height!
500074;Contacts to the south!
500075;Mad-eye! You, Tonks, and Lupin take Harry! We'll slow them down!
500076;There's the other one, Alastor!
500077;Expecto--!
500078;Harry, leave it to us!
500079;No!
500080;"""Expecto Patronum!'"
500081;Get Harry to the safe house!
500082;Come on, Potter! Keep moving!
500083;But I can help!
500084;Potter, getting yourself killed won't do a thing. Now move!
500085;We're not far, now!
500086;Did you get rid of them?
500087;They're gone, Alastor.
500088;We're there!
500089;Prepare for descent! Form up around Harry!
500090;Stay here, Harry.
500091;Clear!
500092;Right, Harry, this way.
500093;Here, read this.
500094;Come on, inside. Hurry.
500095;Get in, quick, Harry. Don't touch anything.
500096;Filth! Scum! Half-breeds, mutants, freaks, begone from this place! How dare you befoul the house of my fathers?!
500097;Shut up, you miserable old hag! Quiet!
500098;Blood traitor, abomination, shame of my flesh!
500099;Was that your--?
500100;Mother, yes. Dear old mum.
500101;But...why here?
500102;Hello, Harry dear.
500103;Mrs. Weasley!
500104;Sirius, the meeting is about to start!
500105;Right.
500106;Harry, dear, go on upstairs-— quietly, if you please. They're all up there.
500107;Harry!
500108;Let him breathe, Hermione!
500109;Oh, Harry! We've missed you! Are you furious with us, I bet you are!
500110;Good to see you, mate.
500111;Come on, inside.
500112;Sorry we haven't written, Harry, but Dumbledore made us promise not to.
500113;We wanted to, mate, we really did, but he thought they would get intercepted. There is an awkward silence.
500114;Right.
500115;He thought you would be safest there.
500116;He was so angry when he heard. It was...scary...
500117;So, why's he keeping me in the dark?
500118;Didn't you bother asking?
500119;We've only seen him twice, and not for very long. He's really busy.
500120;So I get to spend the summer with the Dursleys while you two are here.
500121;It's not that fun, mate. Mum won't let us anywhere near the meetings.
500122;You've still been here!
500123;What's been going on?
500124;We've already told you, we're not privyed to the meetings. But we do know a few things.
500125;Some of the Order are following known Death Eaters, like Lucious Malfoy.
500126;What's this Order everyone's talking about?
500127;The Order of the Phoenix. Dumbledore started it last time to fight You-Know-Who. He only reorganized it after last term.
500128;You can come down now, the meeting's over.
500129;Arthur-
500130;Well, the Ministry is furious with you.
500131;Why?
500132;You'll have to go to an disciplinary meeting tomorrow.
500133;Okay.
500134;I'm not really hungry. I think I'll go to bed.
500135;You surprise me, Harry. I figured the first thing you'd do is start asking about Voldemort.
500136;I wanted to, but I didn't think you'd tell me anything.
500137;And that was quite right, Harry! You're much to young--
500138;He has a right to know, Molly.
500139;It's not your decision!
500140;I know what Dumbledore said, but he needs to know something.
500141;He's not a child, Molly.
500142;He's not an adult either!
500143;I only have Harry's best interests at heart.
500144;He's not your son.
500145;Who else does he have, then?
500146;He's got me. He's like a son to me.
500147;What do you want to know, Harry?
500148;Where's Voldemort? What's he doing?
500149;He's hiding for the moment, because the Ministry is ignoring his return and he doesn't want that to change.
500150;How?
500151;The last person You-Know-Who wanted to alert was Dumbledore.
500152;And what's his plan?
500153;He's building up his army again, just like before.
500154;And you're stopping him from gaining followers?
500155;We're doing our best, but it's proving to be...difficult.
500156;You see, when the Ministry of Magic insists that Voldemort isn't back.
500157;But...why?
500158;Fudge likes being Minister of Magic. If it turns out that Voldemort came back under his watch, he'll be sacked.
500159;But you're telling people, right?
500160;Well, they think I'm a mass- murderer, Lupin is a werewolf, Tonks and Arthur would lose their jobs at the Ministry...
500161;But Dumbledore is doing all he can.
500162;If he keeps it up, he might end up in Azkaban. And that would give You- Know-Who a clear field to--
500163;What?
500164;You-Know-Who wants something. Something he didn't have last time. A weapon.
500165;What kind of weapon?
500166;I'm sorry, Harry, we can't say anything more.
500167;Morning, dear! Did you have a good sleep?
500168;No, my scar kept hurting.
500169;Yeah...nerves...
500170;Good luck, Harry!
500171;They'll have to let you off, Harry... You were defending
500172;Thanks, Hermione.
500173;What does he get a hug for?
500174;Oh, sure, that's why.
500175;Me? Jealous? Of course not, it just doesn't seem fair that you hug one friend more than the other, is all...
500176;Would you like a hug?
500177;Well, come on, Harry. Time to go.
500178;Bye.
500179;Good, good, not very many Muggles.
500180;Well, come on Harry, in we go.
500181;I do love using the Fellytone! Now, let's see, what's the number again...
500182;Welcome to the Ministry of Magic. Please state your business.
500183;Harry Potter, disciplinary hearing.
500184;Pleas stand by.
500185;Keep close, Harry!
500186;Ah, Perkins, good morn-
500187;Arthur, they've changed the time of Potter's hearing.
500188;Blast! Dumbledore thought they might try that.
500189;It started at eight!
500190;Good lord, that was five minutes ago! Come on, Harry!
500191;Department of Mysteries.
500192;Department of Mysteries?
500193;Yep, I've got no idea what they get up to in here, it's top secret.
500194;Come on, Harry!
500195;I've been there before...
500196;Now, Harry, I find that highly unlikely...
500197;There you are, Harry, in you go...good luck...
500198;You're late.
500199;Er...sorry.
500200;No matter, the accused will take his seat.
500201;Very well, we are ready to begin.
500202;Witness for the Defence, Albus Percival Wulfric Brian Dumbledore.
500203;Ah...you...er...got our message that the time had changed, did you?
500204;Well. The...ah...charges.
